24.01.2022 16:42:39.891 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:42:52.023 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:42:57.725 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:43:02.287 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:43:05.365 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:44:32.415 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:44:54.337 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:45:02.752 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:45:11.925 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:45:20.160 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:45:25.459 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:45:30.242 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:45:33.585 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:48:56.753 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:49:13.673 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:49:24.293 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:49:28.151 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:49:37.138 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:51:06.609 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:51:19.735 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:54:19.754 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
24.01.2022 16:56:33.520 DEBUG com.skillbox.socialnet.controller.PostControllerTest Running with Spring Boot v2.3.10.RELEASE, Spring v5.2.14.RELEASE
